University_Code,University_Name,County,Type,Degree,Total_Students,Male,Female,FirstYear_Male,FirstYear_Female,SecondYear_Male,SecondYear_Female,ThirdYear_Male,ThirdYear_Female,FourthYear_Male,FourthYear_Female,FifthYear_Male,FifthYear_Female,SixthYear_Male,SixthYear_Female,SeventhYear_Male,SeventhYear_Female,Supersenior_Male,Supersenior_Female
1,國立政治大學,30 臺北市,日間部學制,博士班,965,551,414,96,85,82,78,93,59,77,54,71,52,58,46,74,40,0,0
1,國立政治大學,30 臺北市,日間部學制,碩士班,3998,1854,2144,624,742,632,695,348,431,250,276,0,0,0,0,0,0,0,0
1,國立政治大學,30 臺北市,日間部學制,學士班,9630,3983,5647,899,1287,890,1332,878,1325,990,1240,0,0,0,0,0,0,326,463
1,國立政治大學,30 臺北市,進修部學制,碩士班,1750,896,854,303,248,253,259,201,210,86,90,53,47,0,0,0,0,0,0
2,國立清華大學,18 新竹市,日間部學制,博士班,1664,1221,443,225,99,201,71,189,73,168,49,158,50,112,43,168,58,0,0
2,國立清華大學,18 新竹市,日間部學制,碩士班,5018,3141,1877,1315,719,1159,639,464,306,193,190,6,13,4,10,0,0,0,0
2,國立清華大學,18 新竹市,日間部學制,學士班,8689,4696,3993,1089,865,1087,936,1161,994,1073,1032,0,0,0,0,0,0,286,166
2,國立清華大學,18 新竹市,進修部學制,碩士班,1221,459,762,186,238,165,227,40,125,27,60,17,46,8,14,16,52,0,0
3,國立臺灣大學,30 臺北市,日間部學制,博士班,3459,2405,1054,408,196,374,168,383,147,350,158,304,123,234,109,352,153,0,0
3,國立臺灣大學,30 臺北市,日間部學制,碩士班,10197,6178,4019,2445,1552,2343,1475,930,604,460,388,0,0,0,0,0,0,0,0
3,國立臺灣大學,30 臺北市,日間部學制,學士班,16604,9447,7157,2126,1525,2110,1666,2122,1673,2006,1562,184,98,126,61,102,35,671,537
3,國立臺灣大學,30 臺北市,進修部學制,碩士班,1485,904,581,321,238,316,201,152,93,43,22,35,7,37,20,0,0,0,0
4,國立臺灣師範大學,30 臺北市,日間部學制,博士班,1378,685,693,109,116,122,120,99,99,103,119,95,82,87,90,70,67,0,0
4,國立臺灣師範大學,30 臺北市,日間部學制,碩士班,4083,1714,2369,614,796,548,711,344,516,208,346,0,0,0,0,0,0,0,0
4,國立臺灣師範大學,30 臺北市,日間部學制,學士班,8079,3583,4496,846,1066,850,1063,843,1078,804,1018,0,0,0,0,0,0,240,271
4,國立臺灣師範大學,30 臺北市,進修部學制,碩士班,2042,596,1446,196,450,164,399,111,263,43,159,49,104,33,71,0,0,0,0
5,國立成功大學,21 臺南市,日間部學制,博士班,1780,1241,539,244,110,216,97,183,79,188,76,141,69,129,49,140,59,0,0
5,國立成功大學,21 臺南市,日間部學制,碩士班,6720,4244,2476,1849,1072,1766,982,463,294,165,123,1,5,0,0,0,0,0,0
5,國立成功大學,21 臺南市,日間部學制,學士班,11390,7123,4267,1672,1010,1651,1041,1668,996,1593,955,82,68,49,27,53,21,355,149
5,國立成功大學,21 臺南市,進修部學制,碩士班,1386,873,513,287,179,271,182,168,108,95,30,52,14,0,0,0,0,0,0
6,國立中興大學,19 臺中市,日間部學制,博士班,941,662,279,103,52,99,50,104,39,88,36,92,27,81,30,95,45,0,0
6,國立中興大學,19 臺中市,日間部學制,碩士班,3401,2049,1352,879,564,815,543,240,172,113,70,2,3,0,0,0,0,0,0
6,國立中興大學,19 臺中市,日間部學制,學士班,8090,4685,3405,1087,799,1100,813,1121,840,1151,815,21,45,0,0,0,0,205,93
6,國立中興大學,19 臺中市,進修部學制,碩士班,1506,1006,500,346,193,313,173,161,64,92,35,94,35,0,0,0,0,0,0
6,國立中興大學,19 臺中市,進修學士班,學士班,946,399,547,91,129,70,116,97,117,83,126,48,49,0,0,0,0,10,10
7,國立交通大學,18 新竹市,日間部學制,博士班,1729,1380,349,297,90,235,66,208,43,174,56,158,39,131,24,177,31,0,0
7,國立交通大學,18 新竹市,日間部學制,碩士班,5611,3843,1768,1450,671,1352,635,833,342,207,119,1,1,0,0,0,0,0,0
7,國立交通大學,18 新竹市,日間部學制,學士班,5398,3735,1663,881,417,907,416,893,396,906,374,0,0,0,0,0,0,148,60
7,國立交通大學,18 新竹市,進修部學制,碩士班,1533,1029,504,344,206,330,159,159,62,116,41,80,36,0,0,0,0,0,0
8,國立中央大學,03 桃園市,日間部學制,博士班,1046,763,283,154,55,126,57,129,58,100,40,88,31,76,19,90,23,0,0
8,國立中央大學,03 桃園市,日間部學制,碩士班,3509,2349,1160,1019,479,922,471,320,139,88,71,0,0,0,0,0,0,0,0
8,國立中央大學,03 桃園市,日間部學制,學士班,6057,3872,2185,931,558,956,535,917,524,907,512,0,0,0,0,0,0,161,56
8,國立中央大學,03 桃園市,進修部學制,碩士班,1348,883,465,356,157,274,204,130,55,66,28,57,21,0,0,0,0,0,0
9,國立中山大學,50 高雄市,日間部學制,博士班,785,534,251,119,54,92,44,90,32,61,40,60,25,59,29,53,27,0,0
9,國立中山大學,50 高雄市,日間部學制,碩士班,2889,1841,1048,788,391,670,383,282,170,101,104,0,0,0,0,0,0,0,0
9,國立中山大學,50 高雄市,日間部學制,學士班,4726,2953,1773,694,412,720,401,683,452,677,425,0,0,0,0,0,0,179,83
9,國立中山大學,50 高雄市,進修部學制,碩士班,1025,523,502,201,182,208,192,57,64,57,64,0,0,0,0,0,0,0,0
12,國立臺灣海洋大學,17 基隆市,日間部學制,博士班,301,230,71,52,14,38,20,33,6,26,11,30,6,15,5,36,9,0,0
12,國立臺灣海洋大學,17 基隆市,日間部學制,碩士班,1416,911,505,405,238,342,176,98,50,45,22,15,13,6,6,0,0,0,0
12,國立臺灣海洋大學,17 基隆市,日間部學制,學士班,5769,4002,1767,956,455,955,455,953,433,944,393,0,0,0,0,0,0,194,31
12,國立臺灣海洋大學,17 基隆市,進修部學制,碩士班,552,334,218,115,92,108,71,65,29,26,14,12,9,4,1,4,2,0,0
12,國立臺灣海洋大學,17 基隆市,進修學士班,學士班,473,268,205,60,52,47,40,68,55,66,48,0,0,0,0,0,0,27,10
13,國立中正大學,10 嘉義縣,日間部學制,博士班,600,407,193,70,33,61,38,65,29,64,34,45,18,46,21,56,20,0,0
13,國立中正大學,10 嘉義縣,日間部學制,碩士班,2799,1739,1060,700,393,647,405,263,181,128,81,1,0,0,0,0,0,0,0
