University_Code,University_Name,County,Type,Degree,Total_Students,Male,Female,FirstYear_Male,FirstYear_Female,SecondYear_Male,SecondYear_Female,ThirdYear_Male,ThirdYear_Female,FourthYear_Male,FourthYear_Female,FifthYear_Male,FifthYear_Female,SixthYear_Male,SixthYear_Female,SeventhYear_Male,SeventhYear_Female,Supersenior_Male,Supersenior_Female
12,國立臺灣海洋大學,17 基隆市,進修學士班,學士班,503,277,226,58,51,67,53,70,51,53,51,0,0,0,0,0,0,29,20
13,國立中正大學,10 嘉義縣,日間部學制,博士班,588,400,188,69,42,67,31,66,36,50,22,52,24,43,17,53,16,0,0
13,國立中正大學,10 嘉義縣,日間部學制,碩士班,2826,1764,1062,710,421,664,358,271,168,118,112,1,3,0,0,0,0,0,0
13,國立中正大學,10 嘉義縣,日間部學制,學士班,6728,3670,3058,847,728,932,739,892,748,833,745,0,0,0,0,0,0,166,98
13,國立中正大學,10 嘉義縣,進修部在職專班,碩士班,1370,658,712,211,260,215,222,112,108,50,66,70,56,0,0,0,0,0,0
14,國立高雄師範大學,50 高雄市,日間部學制,博士班,450,225,225,43,41,39,42,28,35,35,27,27,30,25,22,28,28,0,0
14,國立高雄師範大學,50 高雄市,日間部學制,碩士班,1378,505,873,196,280,142,231,93,178,62,146,11,29,1,8,0,1,0,0
14,國立高雄師範大學,50 高雄市,日間部學制,學士班,3487,1657,1830,398,469,414,426,402,447,388,443,0,0,0,0,0,0,55,45
14,國立高雄師範大學,50 高雄市,進修部在職專班,碩士班,1339,463,876,171,303,140,222,81,191,35,65,21,46,15,49,0,0,0,0
15,國立彰化師範大學,07 彰化縣,日間部學制,博士班,477,286,191,55,38,54,29,46,34,44,24,36,22,29,27,22,17,0,0
15,國立彰化師範大學,07 彰化縣,日間部學制,碩士班,1510,762,748,305,268,252,228,144,156,61,96,0,0,0,0,0,0,0,0
15,國立彰化師範大學,07 彰化縣,日間部學制,學士班,4895,2540,2355,615,587,587,579,629,560,576,570,0,0,0,0,0,0,133,59
15,國立彰化師範大學,07 彰化縣,進修部在職專班,碩士班,1353,594,759,195,271,188,250,91,99,34,46,24,43,62,50,0,0,0,0
16,國立陽明大學,30 臺北市,日間部學制,博士班,864,503,361,79,58,101,52,81,57,80,50,47,55,46,43,69,46,0,0
16,國立陽明大學,30 臺北市,日間部學制,碩士班,1226,493,733,214,331,190,271,59,86,30,42,0,3,0,0,0,0,0,0
16,國立陽明大學,30 臺北市,日間部學制,學士班,2107,1160,947,217,184,217,191,198,185,215,190,104,67,112,64,79,52,18,14
16,國立陽明大學,30 臺北市,進修部在職專班,碩士班,135,43,92,17,34,19,31,4,20,1,3,2,4,0,0,0,0,0,0
17,國立臺北大學,01 新北市,日間部學制,博士班,214,142,72,28,15,26,13,18,13,15,10,21,5,9,7,25,9,0,0
17,國立臺北大學,01 新北市,日間部學制,碩士班,1346,667,679,255,257,237,228,106,122,67,67,2,5,0,0,0,0,0,0
