University_Code,University_Name,County,Type,Degree,Total_Students,Male,Female,FirstYear_Male,FirstYear_Female,SecondYear_Male,SecondYear_Female,ThirdYear_Male,ThirdYear_Female,FourthYear_Male,FourthYear_Female,FifthYear_Male,FifthYear_Female,SixthYear_Male,SixthYear_Female,SeventhYear_Male,SeventhYear_Female,Supersenior_Male,Supersenior_Female
1,國立政治大學,30 臺北市,日間部學制,博士班,995,561,434,90,85,87,77,84,74,89,53,70,48,61,55,80,42,0,0
1,國立政治大學,30 臺北市,日間部學制,碩士班,4023,1861,2162,644,745,593,702,372,451,252,264,0,0,0,0,0,0,0,0
1,國立政治大學,30 臺北市,日間部學制,學士班,9585,3912,5673,896,1289,906,1309,883,1319,882,1333,0,0,0,0,0,0,345,423
1,國立政治大學,30 臺北市,進修部學制,碩士班,1787,929,858,298,273,266,233,185,190,110,96,70,66,0,0,0,0,0,0
2,國立清華大學,18 新竹市,日間部學制,博士班,1656,1211,445,241,85,206,90,179,64,163,60,140,43,122,44,160,59,0,0
2,國立清華大學,18 新竹市,日間部學制,碩士班,5190,3221,1969,1299,754,1231,659,475,321,209,211,3,14,4,10,0,0,0,0
2,國立清華大學,18 新竹市,日間部學制,學士班,8500,4658,3842,1105,925,1093,843,1075,945,1123,975,0,0,0,0,0,0,262,154
2,國立清華大學,18 新竹市,進修部學制,碩士班,1293,479,814,191,269,170,217,35,114,26,92,23,43,9,29,25,50,0,0
3,國立臺灣大學,30 臺北市,日間部學制,博士班,3433,2405,1028,467,185,361,179,347,163,355,132,292,130,240,105,343,134,0,0
3,國立臺灣大學,30 臺北市,日間部學制,碩士班,10335,6241,4094,2483,1615,2302,1457,970,622,486,400,0,0,0,0,0,0,0,0
3,國立臺灣大學,30 臺北市,日間部學制,學士班,16614,9431,7183,2105,1592,2165,1592,2083,1653,2037,1608,167,111,145,71,1,4,728,552
3,國立臺灣大學,30 臺北市,進修部學制,碩士班,1562,949,613,328,236,331,235,165,92,62,22,35,18,28,10,0,0,0,0
3,國立臺灣大學,30 臺北市,進修學士班,學士班,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,國立臺灣師範大學,30 臺北市,日間部學制,博士班,1353,662,691,108,117,97,104,121,114,93,106,91,104,73,65,79,81,0,0
4,國立臺灣師範大學,30 臺北市,日間部學制,碩士班,4196,1794,2402,657,807,558,724,345,514,234,357,0,0,0,0,0,0,0,0
4,國立臺灣師範大學,30 臺北市,日間部學制,學士班,8104,3603,4501,875,1084,830,1072,811,1057,820,1023,0,0,0,0,0,0,267,265
4,國立臺灣師範大學,30 臺北市,進修部學制,碩士班,2063,599,1464,192,457,178,440,99,267,67,142,33,90,30,68,0,0,0,0
5,國立成功大學,21 臺南市,日間部學制,博士班,1829,1261,568,264,138,215,92,202,88,162,82,158,67,123,50,137,51,0,0
5,國立成功大學,21 臺南市,日間部學制,碩士班,6833,4290,2543,1910,1064,1738,1015,492,342,148,120,1,2,1,0,0,0,0,0
5,國立成功大學,21 臺南市,日間部學制,學士班,11348,7046,4302,1677,1011,1658,1007,1602,1024,1631,981,79,59,51,37,1,3,347,180
5,國立成功大學,21 臺南市,進修部學制,碩士班,1446,900,546,303,192,269,171,177,106,95,51,55,26,1,0,0,0,0,0
6,國立中興大學,19 臺中市,日間部學制,博士班,944,658,286,103,46,108,57,97,44,97,40,75,30,75,25,103,44,0,0
6,國立中興大學,19 臺中市,日間部學制,碩士班,3447,2054,1393,854,601,849,555,244,161,106,75,1,1,0,0,0,0,0,0
6,國立中興大學,19 臺中市,日間部學制,學士班,8020,4619,3401,1065,810,1085,782,1093,840,1112,825,34,46,0,0,0,0,230,98
6,國立中興大學,19 臺中市,進修部學制,碩士班,1625,1106,519,401,212,329,176,179,67,113,34,84,30,0,0,0,0,0,0
6,國立中興大學,19 臺中市,進修學士班,學士班,947,416,531,110,107,76,121,68,120,93,115,52,58,0,0,0,0,17,10
7,國立交通大學,18 新竹市,日間部學制,博士班,1765,1379,386,281,97,274,77,209,58,189,40,153,49,111,29,162,36,0,0
7,國立交通大學,18 新竹市,日間部學制,碩士班,5754,3913,1841,1503,718,1370,630,831,369,209,122,0,2,0,0,0,0,0,0
7,國立交通大學,18 新竹市,日間部學制,學士班,5627,3840,1787,1028,513,894,418,887,410,874,389,0,0,0,0,0,0,157,57
7,國立交通大學,18 新竹市,進修部學制,碩士班,1596,1053,543,340,207,324,195,189,71,113,36,87,34,0,0,0,0,0,0
8,國立中央大學,03 桃園市,日間部學制,博士班,1019,730,289,144,59,135,51,116,49,113,46,83,37,67,25,72,22,0,0
8,國立中央大學,03 桃園市,日間部學制,碩士班,3504,2324,1180,992,522,946,445,280,145,105,68,1,0,0,0,0,0,0,0
8,國立中央大學,03 桃園市,日間部學制,學士班,5956,3755,2201,878,545,909,551,919,534,890,518,0,0,0,0,0,0,159,53
8,國立中央大學,03 桃園市,進修部學制,碩士班,1343,854,489,310,221,333,151,99,56,72,35,40,26,0,0,0,0,0,0
9,國立中山大學,50 高雄市,日間部學制,博士班,779,542,237,116,49,104,42,87,45,88,29,50,33,48,20,49,19,0,0
9,國立中山大學,50 高雄市,日間部學制,碩士班,2975,1906,1069,788,443,702,354,285,180,131,92,0,0,0,0,0,0,0,0
9,國立中山大學,50 高雄市,日間部學制,學士班,4741,2919,1822,642,450,696,401,729,431,675,451,0,0,0,0,0,0,177,89
9,國立中山大學,50 高雄市,進修部學制,碩士班,1068,539,529,225,197,181,170,78,86,55,76,0,0,0,0,0,0,0,0
12,國立臺灣海洋大學,17 基隆市,日間部學制,博士班,332,247,85,40,23,53,16,37,17,34,3,23,10,24,6,36,10,0,0
12,國立臺灣海洋大學,17 基隆市,日間部學制,碩士班,1462,947,515,423,226,341,193,115,61,47,14,13,11,5,7,3,3,0,0
12,國立臺灣海洋大學,17 基隆市,日間部學制,學士班,5850,4039,1811,999,459,945,460,951,456,921,403,0,0,0,0,0,0,223,33
12,國立臺灣海洋大學,17 基隆市,進修部學制,碩士班,577,353,224,143,94,104,83,49,23,32,13,15,2,5,7,5,2,0,0
12,國立臺灣海洋大學,17 基隆市,進修學士班,學士班,494,288,206,79,45,60,56,44,40,67,54,0,0,0,0,0,0,38,11
13,國立中正大學,10 嘉義縣,日間部學制,博士班,607,403,204,69,42,59,31,58,35,61,27,59,27,46,19,51,23,0,0
13,國立中正大學,10 嘉義縣,日間部學制,碩士班,2796,1744,1052,710,387,648,369,267,198,118,92,1,6,0,0,0,0,0,0
13,國立中正大學,10 嘉義縣,日間部學制,學士班,6433,3504,2929,827,697,833,735,818,722,859,706,0,0,0,0,0,0,167,69
13,國立中正大學,10 嘉義縣,進修部學制,碩士班,1369,625,744,216,293,202,242,99,107,66,58,42,44,0,0,0,0,0,0
14,國立高雄師範大學,50 高雄市,日間部學制,博士班,450,215,235,31,42,33,29,42,34,37,40,24,37,22,27,26,26,0,0
14,國立高雄師範大學,50 高雄市,日間部學制,碩士班,1385,517,868,167,272,154,245,115,181,69,142,9,20,3,7,0,1,0,0
14,國立高雄師範大學,50 高雄市,日間部學制,學士班,3524,1731,1793,468,430,437,430,372,451,399,435,0,0,0,0,0,0,55,47
14,國立高雄師範大學,50 高雄市,進修部學制,碩士班,1331,449,882,150,287,143,248,90,178,32,74,23,47,11,48,0,0,0,0
15,國立彰化師範大學,07 彰化縣,日間部學制,博士班,494,297,197,51,35,49,27,52,35,48,24,35,28,28,25,34,23,0,0
15,國立彰化師範大學,07 彰化縣,日間部學制,碩士班,1600,815,785,315,279,279,245,151,151,68,106,2,4,0,0,0,0,0,0
15,國立彰化師範大學,07 彰化縣,日間部學制,學士班,4929,2591,2338,637,559,600,556,623,575,574,580,0,0,0,0,0,0,157,68
15,國立彰化師範大學,07 彰化縣,進修部學制,碩士班,1362,565,797,199,253,181,233,60,130,48,87,33,43,44,51,0,0,0,0
16,國立陽明大學,30 臺北市,日間部學制,博士班,878,516,362,93,83,90,61,71,55,83,46,67,47,51,33,61,37,0,0
16,國立陽明大學,30 臺北市,日間部學制,碩士班,1304,532,772,213,356,232,280,57,100,29,30,1,6,0,0,0,0,0,0
16,國立陽明大學,30 臺北市,日間部學制,學士班,2004,1095,909,199,221,222,177,211,181,217,183,122,68,102,63,2,0,20,16
16,國立陽明大學,30 臺北市,進修部學制,碩士班,150,46,104,17,35,16,31,10,21,2,12,1,5,0,0,0,0,0,0
17,國立臺北大學,01 新北市,日間部學制,博士班,214,142,72,33,8,22,13,18,13,25,11,13,11,9,8,22,8,0,0
17,國立臺北大學,01 新北市,日間部學制,碩士班,1354,708,646,273,232,234,239,115,105,77,64,9,6,0,0,0,0,0,0
17,國立臺北大學,01 新北市,日間部學制,學士班,5819,2629,3190,626,759,606,771,635,768,624,761,0,0,0,0,0,0,138,131
17,國立臺北大學,01 新北市,進修部學制,碩士班,522,268,254,117,104,94,95,33,33,20,15,4,7,0,0,0,0,0,0
17,國立臺北大學,01 新北市,進修學士班,學士班,2045,766,1279,224,346,179,300,155,270,148,288,0,1,0,0,0,0,60,74
18,國立嘉義大學,20 嘉義市,日間部學制,博士班,205,117,88,21,16,23,11,18,12,21,10,13,10,9,12,12,17,0,0
18,國立嘉義大學,20 嘉義市,日間部學制,碩士班,1309,624,685,235,252,204,207,93,116,92,110,0,0,0,0,0,0,0,0
18,國立嘉義大學,20 嘉義市,日間部學制,學士班,7495,3787,3708,905,917,908,897,892,883,916,886,24,37,0,0,0,0,142,88
18,國立嘉義大學,20 嘉義市,進修部學制,碩士班,890,338,552,120,192,126,154,44,101,48,105,0,0,0,0,0,0,0,0
18,國立嘉義大學,20 嘉義市,進修學士班,學士班,1986,1249,737,342,185,281,176,286,173,249,163,0,0,0,0,0,0,91,40
19,國立高雄大學,50 高雄市,日間部學制,博士班,30,27,3,5,1,6,1,5,0,5,0,3,0,0,0,3,1,0,0
19,國立高雄大學,50 高雄市,日間部學制,碩士班,635,417,218,161,88,150,78,67,32,39,20,0,0,0,0,0,0,0,0
19,國立高雄大學,50 高雄市,日間部學制,學士班,4345,2526,1819,658,447,626,453,553,439,569,421,0,0,0,0,0,0,120,59
19,國立高雄大學,50 高雄市,進修部學制,碩士班,486,299,187,94,80,91,42,51,33,35,14,18,12,10,6,0,0,0,0
19,國立高雄大學,50 高雄市,進修部在職專班,學士班,167,110,57,0,0,0,0,42,25,31,16,0,0,0,0,0,0,37,16
20,國立東華大學,15 花蓮縣,日間部學制,博士班,390,238,152,44,32,46,34,36,19,34,19,18,15,24,12,36,21,0,0
20,國立東華大學,15 花蓮縣,日間部學制,碩士班,1422,718,704,262,234,206,206,120,128,112,112,13,14,5,10,0,0,0,0
20,國立東華大學,15 花蓮縣,日間部學制,學士班,7559,3600,3959,878,996,787,944,858,929,808,937,0,0,0,0,0,0,269,153
20,國立東華大學,15 花蓮縣,進修部學制,碩士班,536,237,299,84,73,70,111,35,45,25,34,13,12,10,24,0,0,0,0
21,國立暨南國際大學,08 南投縣,日間部學制,博士班,336,170,166,33,28,21,30,31,26,29,24,14,17,14,20,28,21,0,0
21,國立暨南國際大學,08 南投縣,日間部學制,碩士班,858,411,447,148,137,123,139,81,91,47,64,2,8,10,8,0,0,0,0
21,國立暨南國際大學,08 南投縣,日間部學制,學士班,4490,2037,2453,490,544,454,611,496,587,493,614,0,0,0,0,0,0,104,97
21,國立暨南國際大學,08 南投縣,進修部學制,碩士班,424,175,249,56,92,55,63,26,39,23,30,10,13,5,12,0,0,0,0
22,國立臺灣科技大學,30 臺北市,日間部學制,博士班,1037,805,232,203,69,165,50,158,43,104,32,63,14,54,12,58,12,0,0
22,國立臺灣科技大學,30 臺北市,日間部學制,碩士班,3632,2486,1146,1178,542,1010,448,236,129,62,27,0,0,0,0,0,0,0,0
22,國立臺灣科技大學,30 臺北市,日間部學制,學士班,5629,3955,1674,940,435,944,383,937,405,944,376,0,0,0,0,0,0,190,75
22,國立臺灣科技大學,30 臺北市,日間部學制,學士班,177,78,99,0,0,0,0,33,39,42,54,0,0,0,0,0,0,3,6
22,國立臺灣科技大學,30 臺北市,進修部學制,博士班,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
22,國立臺灣科技大學,30 臺北市,進修部學制,碩士班,798,517,281,217,131,182,105,66,26,46,17,4,2,2,0,0,0,0,0
23,國立雲林科技大學,09 雲林縣,日間部學制,博士班,407,261,146,58,23,46,25,39,26,36,23,37,19,27,16,18,14,0,0
23,國立雲林科技大學,09 雲林縣,日間部學制,碩士班,1933,1227,706,540,294,461,275,168,101,58,36,0,0,0,0,0,0,0,0
23,國立雲林科技大學,09 雲林縣,日間部學制,學士班,6264,3764,2500,943,596,891,618,869,619,904,604,0,0,0,0,0,0,157,63
23,國立雲林科技大學,09 雲林縣,日間部學制,學士班,240,93,147,0,0,0,0,42,69,45,69,0,0,0,0,0,0,6,9
23,國立雲林科技大學,09 雲林縣,進修部學制,碩士班,746,412,334,178,137,133,114,56,41,35,30,10,12,0,0,0,0,0,0
23,國立雲林科技大學,09 雲林縣,進修部在職專班,學士班,126,52,74,18,26,15,25,19,23,0,0,0,0,0,0,0,0,0,0
24,國立屏東科技大學,13 屏東縣,日間部學制,博士班,259,168,91,29,24,27,13,22,13,25,14,14,9,19,7,32,11,0,0
24,國立屏東科技大學,13 屏東縣,日間部學制,碩士班,1128,645,483,282,199,244,201,87,56,28,25,2,2,2,0,0,0,0,0
